Nome,CNPJ,setor_economico_bovespa,data,ValorMercado,TotEmFiLP,TotEmFiCP,Receita,PtLqCo,PasNoCir,PasCir,LucroLiquido,Imobil,Fornec,CxOper,Estoques,EBIT,DvPgCP,DeprAmor,ClieCP,CtaRecCP,DpInCP,CaixaEEqCx,AtivoTot,AtvCir,ApFiVrJuLP,AplFin,ApFiVrJuCP,AFAvCAmLP,AFAvCAmCP,linha_na,aplfin,caixaeqvcaixa,contasreceber
Aco Altona,82643537000134,Bens industriais,Mar 2007,92250,0,8048,43350,-53414,100357,58133,4366,51465,9810,NA,10940,7989,0,NA,24484,0,4793,0,105076,42249,0,0,0,0,0,1,0,4793,24484
Aco Altona,82643537000134,Bens industriais,Jun 2007,149484.75,0,9357,85214,-51162,100081,60586,6618,51851,8912,NA,12976,12404,0,NA,21522,0,9423,0,109505,46232,0,462,0,0,0,1,462,9423,21522
Aco Altona,82643537000134,Bens industriais,Set 2007,176625,0,12130,126672,-49518,102146,61275,8178,53662,8010,NA,14497,16416,0,NA,21473,0,9363,0,113903,47900,0,0,0,0,0,1,0,9363,21473
Aco Altona,82643537000134,Bens industriais,Dez 2007,168750,0,16117,167721,-46283,102294,66175,11498,52460,6206,8098,14118,22839,0,9619,26388,0,10304,0,122186,56270,0,0,0,0,0,1,0,10304,26388
Aco Altona,82643537000134,Bens industriais,Mar 2008,157050,0,16116,44688,-41679,105220,81369,4604,55406,8992,NA,16391,7489,0,NA,33895,0,10117,0,144910,65197,0,0,0,0,0,1,0,10117,33895
Aco Altona,82643537000134,Bens industriais,Jun 2008,127125,6153,22077,93291,-39857,111496,84329,6427,55858,10289,NA,18203,12536,0,NA,35049,0,17253,0,155968,75943,0,0,0,0,0,1,0,17253,35049
Aco Altona,82643537000134,Bens industriais,Set 2008,92250,10553,20481,150144,-31429,115622,86078,14854,55427,10561,NA,21348,23372,0,NA,49003,0,12348,0,170271,89231,0,0,0,0,0,1,0,12348,49003
Aco Altona,82643537000134,Bens industriais,Dez 2008,92970,0,17421,198155,-22762,118885,84185,24266,53621,5567,20858,19859,31541,0,10102,41127,0,25331,0,180308,92954,0,0,0,0,0,1,0,25331,41127
Aco Altona,82643537000134,Bens industriais,Mar 2009,89775,3526,20489,37211,-20478,109545,78698,2284,52158,5003,1299,18790,5452,0,NA,38455,0,17981,0,167765,82654,0,0,0,0,0,1,0,17981,38455
Aco Altona,82643537000134,Bens industriais,Jun 2009,69075,3600,22342,68664,-24736,111549,71469,-1973,51490,4924,4303,16177,4588,0,NA,28434,0,21033,0,158282,72914,0,0,0,0,0,1,0,21033,28434
Aco Altona,82643537000134,Bens industriais,Set 2009,71212.5,3629,21350,100702,-25221,112584,62177,-2459,50702,4891,4457,12457,6307,0,NA,25475,0,18453,0,149540,65020,0,0,0,0,0,1,0,18453,25475
Aco Altona,82643537000134,Bens industriais,Dez 2009,75825,5480,21507,123097,-20796,110786,53206,1966,50940,4322,9074,13494,14847,0,9157,14824,0,22864,0,143196,59219,0,0,0,0,0,1,0,22864,14824
Aco Altona,82643537000134,Bens industriais,Mar 2010,78750,4660,17516,28312,40141,139582,55301,-52,154649,7493,28348,14621,1512,0,NA,21090,0,16321,0,235024,59329,0,0,0,0,0,1,0,16321,21090
Aco Altona,82643537000134,Bens industriais,Jun 2010,64575,3889,18368,63155,41516,149230,47755,1325,156053,9743,-37328,20147,5392,0,NA,21382,0,15094,0,238501,61442,0,0,0,0,0,1,0,15094,21382
Aco Altona,82643537000134,Bens industriais,Set 2010,64125,10057,13994,106024,43776,154807,44052,3587,157072,8996,-4747,21007,9720,0,NA,27381,0,10096,0,242635,63603,0,0,0,0,0,1,0,10096,27381
Aco Altona,82643537000134,Bens industriais,Dez 2010,67500,19367,15274,145891,45809,151872,40282,5927,158089,8017,-173,20241,15215,0,NA,21840,0,0,1136,237963,66144,0,0,15070,0,0,1,15070,1136,21840
